family,candidate,batch,prefill_ms,traced_decode_ms,decision,evidence
baseline,completed_multichip_standard_bf16_public_output,1,0.822899863,0.356703736,baseline,results/baseline/final_batch1.json
baseline,completed_multichip_standard_bf16_public_output,32,3.125764895,0.578790270,baseline,results/baseline/final_batch32.json
collective,persistent_async_bf16_public_output,32,3.056650050,0.533159911,keep_family,results/candidates/persistent_async_ccl/final_batch32.json
collective,persistent_async_bfp8_public_output,32,3.342034761,0.529813790,keep_dtype,results/candidates/persistent_bfp8_ccl/final_batch32.json
collective,persistent_async_bf16_one_link,32,3.250340000,0.551102092,reject_two_links_faster,results/candidates/persistent_links1/final_batch32.json
inter_layer_layout,persistent_bfp8_direct_l1_residual,1,0.825592317,0.302905501,keep_contract,results/candidates/sharded_interlayer/final_batch1.json
inter_layer_layout,persistent_bfp8_direct_l1_residual,32,3.005696926,0.504765720,keep_contract,results/candidates/sharded_interlayer/final_batch32.json
projection_topology,rank_correct_packed_gate_up,32,3.299694974,0.631921729,reject,results/candidates/packed_mlp/final_batch32.json
shard_advisor,exact_report_residual_and_matmuls,32,2.967210021,0.644761347,reject,results/candidates/advisor_report/final_batch32.json
shard_advisor,report_matmuls_legacy_residual,32,3.271681257,0.641023200,reject,results/candidates/advisor_legacy_residual/final_batch32.json
precision,bf16_hifi4_adapted,32,2.777227201,0.887703770,reject,results/candidates/precision_bf16_hifi4_adapted/final_batch32.json
precision,bfp8_hifi2,32,3.140019719,0.634794151,reject,results/candidates/precision_bfp8_hifi2/final_batch32.json
precision,all_bfp4_attention_hifi2,32,3.128197044,0.541865076,reject,results/candidates/precision_all_bfp4_attention_hifi2/final_batch32.json
prefill_advice,grid10_subblock,1,0.924963038,0.302928719,reject,results/candidates/prefill_grid10_subblock/final_batch1.json
prefill_advice,l1_inputs,1,0.979226083,0.303015308,reject,results/candidates/prefill_l1_inputs/final_batch1.json
prefill_control,persistent_resources_50x_r1,1,0.859755734,0.302654887,overlaps_control,results/candidates/prefill_controlled_ab/persistent_r1/result.json
prefill_control,persistent_resources_50x_r2,1,0.859946515,0.302622830,overlaps_control,results/candidates/prefill_controlled_ab/persistent_r2/result.json
prefill_control,standard_no_buffers_50x_r1,1,0.841113199,0.365150548,control,results/candidates/prefill_controlled_ab/standard_r1/result.json
prefill_control,standard_no_buffers_50x_r2,1,0.861041006,0.365237021,control,results/candidates/prefill_controlled_ab/standard_r2/result.json
decode_geometry,reference_qkv8_o8_gate24_down8_r1,1,0.918061007,0.303151049,reference,results/candidates/geometry_repeats/default_r1/result.json
decode_geometry,reference_qkv8_o8_gate24_down8_r2,1,0.927337911,0.303065879,reference,results/candidates/geometry_repeats/default_r2/result.json
decode_geometry,qkv4_o8_gate24_down8,1,0.894554891,0.303077013,keep_candidate,results/candidates/geometry/qkv4/result.json
decode_geometry,qkv16_padded_o8_gate24_down8,1,0.995547976,0.309723383,reject,results/candidates/geometry/qkv16_padded/result.json
decode_geometry,qkv8_o4_gate24_down8,1,0.912270043,0.302647389,keep_candidate,results/candidates/geometry/o4/result.json
decode_geometry,qkv4_o12_gate24_down8,1,0.928680878,0.302369520,near_tie_then_reject_under_selected_activation,results/candidates/geometry/o12/result.json
decode_geometry,qkv4_o16_requested_maps_o12,1,0.983956909,0.302360661,duplicate_physical_grid,results/candidates/geometry/o16/result.json
decode_geometry,qkv8_o24_gate24_down8,1,0.816305634,0.306479800,reject,results/candidates/geometry/o24/result.json
decode_geometry,qkv4_o48_requested_maps_o24,1,0.824162188,0.306411808,duplicate_physical_grid,results/candidates/geometry/o48/result.json
decode_geometry,qkv8_o8_gate8_down8,1,0.865320209,0.313151111,reject,results/candidates/geometry/gate8/result.json
decode_geometry,qkv8_o8_gate12_down8,1,0.929391943,0.313891522,reject,results/candidates/geometry/gate12/result.json
decode_geometry,qkv8_o8_gate48_down8,1,0.894094817,0.312749650,reject,results/candidates/geometry/gate48/result.json
decode_geometry,qkv8_o8_gate24_down12,1,1.083116047,0.308747520,reject,results/candidates/geometry/down12/result.json
decode_geometry,qkv8_o8_gate24_down24,1,0.918651931,0.304878238,reject,results/candidates/geometry/down24/result.json
decode_geometry,qkv8_o8_gate24_down48,1,0.822739210,0.313416533,reject,results/candidates/geometry/down48/result.json
decode_geometry,qkv4_o4_gate24_down8,1,0.917579979,0.302523440,select,results/candidates/geometry/qkv4_o4/result.json
decode_geometry,qkv4_o4_gate24_down8,32,3.078289796,0.503421007,select,results/candidates/geometry/qkv4_o4_batch32/result.json
residual_layout,fractured_bf16_repeat1,32,,0.109990290,reject_vs_0.097506191_replicated,results/candidates/fractured_repeat1/fractured_boundary.json
residual_layout,fractured_bf16_repeat2,32,,0.109964539,reject_vs_0.097512100_replicated,results/candidates/fractured_repeat2/fractured_boundary.json
residual_layout,selected_policy_persistent_bfp8_fractured,32,,0.108104730,reject_vs_0.043913429_replicated,results/final_correctness/fractured_selected_policy_boundary.json
precision_selected,bfp8_hifi2,1,1.358160043,0.401050087,reject,results/candidates/precision_selected/bfp8_hifi2/result.json
precision_selected,bfp8_lofi,1,0.933249779,0.320415804,reject,results/candidates/precision_selected/bfp8_lofi/result.json
precision_selected,attention_bfp8_lofi,1,0.896108913,0.395537619,reject,results/candidates/precision_selected/attention_bfp8_lofi/result.json
precision_selected,mlp_bfp8_lofi,1,0.979578272,0.325893778,reject,results/candidates/precision_selected/mlp_bfp8_lofi/result.json
precision_selected,all_bfp4_attention_hifi2,1,0.903192880,0.308196532,reject,results/candidates/precision_selected/all_bfp4_attention_hifi2/result.json
precision_selected,all_bfp4_mlp_hifi2,1,1.204347135,0.389421151,reject,results/candidates/precision_selected/all_bfp4_mlp_hifi2/result.json
activation_dtype,attention_bfp8_mlp_bf16,1,0.918712297,0.295601765,reject_combined_is_faster,results/candidates/activation_selected/attention_bfp8/result.json
activation_dtype,attention_bf16_mlp_bfp8,1,1.055433005,0.293329135,reject_combined_is_faster,results/candidates/activation_selected/mlp_bfp8/result.json
activation_dtype,attention_bfp8_mlp_bfp8,1,0.825665072,0.286602079,select,results/candidates/activation_selected/all_bfp8/result.json
activation_dtype,attention_bfp8_mlp_bfp8,32,3.175777394,0.491443242,select,results/candidates/activation_selected/o4_b32/result.json
decode_geometry,selected_activation_o12,1,0.932117824,0.288198013,reject_o4_faster,results/candidates/activation_selected/o12_b1/result.json
decode_geometry,selected_activation_o12,32,4.060914678,0.495795958,reject_o4_faster,results/candidates/activation_selected/o12_b32/result.json
projection_decomposition,row_parallel_persistent_bfp8_all_reduce_o_plus_down,1,,0.089642066,select,results/candidates/o_down_agmm/o_down_agmm_decomposition.json
projection_decomposition,explicit_bfp8_async_all_gather_local_output_o_plus_down,1,,0.173024288,reject,results/candidates/o_down_agmm/o_down_agmm_decomposition.json
projection_decomposition,fused_bfp8_all_gather_matmul_local_output_o_plus_down,1,,0.149221281,reject,results/candidates/o_down_agmm/o_down_agmm_decomposition.json
prefill_control_final,persistent_resources_50x_r1,1,0.906945607,0.286593959,overlaps_control,results/final_prefill_control/persistent_repeat1/result.json
prefill_control_final,persistent_resources_50x_r2,1,0.857274877,0.286600203,overlaps_control,results/final_prefill_control/persistent_repeat2/result.json
prefill_control_final,standard_no_buffers_50x_r1,1,0.861956561,0.347750457,control,results/final_prefill_control/standard_repeat1/result.json
prefill_control_final,standard_no_buffers_50x_r2,1,0.887349620,0.347842071,control,results/final_prefill_control/standard_repeat2/result.json
final,exact_default_qkv4_o4_gate24_down8_bfp8_activations,1,0.902849250,0.286596501,selected,results/final/final_batch1.json
final,exact_default_qkv4_o4_gate24_down8_bfp8_activations,32,3.047774080,0.491488329,selected,results/final/final_batch32.json
