PHASE,OP CODE,count,device_kernel_ms
init_one_time,ConcatDeviceOperation,168,2.2737
init_one_time,CopyDeviceOperation,188,1.9332
init_one_time,MatmulDeviceOperation,90,1.8213
init_one_time,BinaryNgDeviceOperation,192,1.689
init_one_time,TilizeWithValPaddingDeviceOperation,90,1.5578
init_one_time,UnaryDeviceOperation,276,0.7216
init_one_time,TypecastDeviceOperation,48,0.6036
init_one_time,FillPadDeviceOperation,8,0.1293
init_one_time,ReshapeViewDeviceOperation,24,0.1173
warm-up,SendDirectAsyncDeviceOperation,87,42.1584
warm-up,MatmulDeviceOperation,719,16.8332
warm-up,SDPAOperation,135,9.396
warm-up,RecvDirectAsyncDeviceOperation,87,9.3744
warm-up,MinimalMatmulDeviceOperation,36,7.5706
warm-up,BinaryNgDeviceOperation,845,3.7914
warm-up,RotaryEmbeddingDeviceOperation,216,2.7428
warm-up,LayerNormDeviceOperation,277,1.9306
warm-up,NlpCreateHeadsDeviceOperation,135,1.2444
warm-up,NLPConcatHeadsDeviceOperation,135,0.5331
warm-up,SliceDeviceOperation,555,0.5178
warm-up,ShardedToInterleavedDeviceOperation,270,0.5175
warm-up,InterleavedToShardedDeviceOperation,270,0.4364
warm-up,UntilizeWithUnpaddingDeviceOperation,1,0.3584
warm-up,ReshapeViewDeviceOperation,1,0.2926
warm-up,ConcatDeviceOperation,181,0.2921
warm-up,PermuteDeviceOperation,1,0.2423
warm-up,TypecastDeviceOperation,28,0.1369
warm-up,Fold,1,0.044
warm-up,TilizeDeviceOperation,1,0.0369
warm-up,FillPadDeviceOperation,1,0.0255
warm-up,EmbeddingsDeviceOperation,2,0.0216
warm-up,UntilizeDeviceOperation,1,0.0201
warm-up,TilizeWithValPaddingDeviceOperation,1,0.0092
iter:vision,MatmulDeviceOperation,110,4.2502
iter:vision,RecvDirectAsyncDeviceOperation,4,1.2091
iter:vision,SDPAOperation,27,1.1094
iter:vision,SendDirectAsyncDeviceOperation,4,0.8806
iter:vision,LayerNormDeviceOperation,55,0.6592
iter:vision,UntilizeWithUnpaddingDeviceOperation,1,0.3583
iter:vision,NlpCreateHeadsDeviceOperation,27,0.3328
iter:vision,ReshapeViewDeviceOperation,1,0.2908
iter:vision,BinaryNgDeviceOperation,55,0.2645
iter:vision,PermuteDeviceOperation,1,0.2437
iter:vision,ShardedToInterleavedDeviceOperation,54,0.1483
iter:vision,InterleavedToShardedDeviceOperation,54,0.1375
iter:vision,NLPConcatHeadsDeviceOperation,27,0.1286
iter:vision,Fold,1,0.0442
iter:vision,FillPadDeviceOperation,1,0.0255
iter:vision,UntilizeDeviceOperation,1,0.0206
iter:vision,EmbeddingsDeviceOperation,1,0.015
iter:vision,TilizeWithValPaddingDeviceOperation,1,0.0096
iter:build_prefix,TilizeDeviceOperation,1,0.0368
iter:build_prefix,ConcatDeviceOperation,1,0.0088
iter:build_prefix,BinaryNgDeviceOperation,1,0.0079
iter:build_prefix,EmbeddingsDeviceOperation,1,0.0065
iter:prefill,RecvDirectAsyncDeviceOperation,17,11.3062
iter:prefill,MinimalMatmulDeviceOperation,36,7.5635
iter:prefill,SendDirectAsyncDeviceOperation,17,6.3189
iter:prefill,MatmulDeviceOperation,54,4.3697
iter:prefill,SDPAOperation,18,2.1735
iter:prefill,BinaryNgDeviceOperation,54,1.3221
iter:prefill,RotaryEmbeddingDeviceOperation,36,0.7969
iter:prefill,LayerNormDeviceOperation,37,0.3735
iter:prefill,ShardedToInterleavedDeviceOperation,36,0.2697
iter:prefill,NlpCreateHeadsDeviceOperation,18,0.2375
iter:prefill,InterleavedToShardedDeviceOperation,36,0.2085
iter:prefill,NLPConcatHeadsDeviceOperation,18,0.1433
iter:prefill,TypecastDeviceOperation,18,0.1271
iter:kv_migration,SendDirectAsyncDeviceOperation,36,3.0076
iter:kv_migration,RecvDirectAsyncDeviceOperation,36,1.8867
iter:denoise,MatmulDeviceOperation,555,8.2335
iter:denoise,SDPAOperation,90,6.0729
iter:denoise,BinaryNgDeviceOperation,735,2.2187
iter:denoise,RotaryEmbeddingDeviceOperation,180,1.9568
iter:denoise,SendDirectAsyncDeviceOperation,30,0.9867
iter:denoise,LayerNormDeviceOperation,185,0.9141
iter:denoise,NlpCreateHeadsDeviceOperation,90,0.6851
iter:denoise,SliceDeviceOperation,555,0.521
iter:denoise,RecvDirectAsyncDeviceOperation,30,0.338
iter:denoise,ConcatDeviceOperation,180,0.2833
iter:denoise,NLPConcatHeadsDeviceOperation,90,0.2625
iter:denoise,ShardedToInterleavedDeviceOperation,180,0.1064
iter:denoise,InterleavedToShardedDeviceOperation,180,0.0995
iter:denoise,TypecastDeviceOperation,10,0.0096
