dm	latent	label	sp	per_dev	q	k	chunk_size	d_v	duration_ms	util	cores	status
on	1	C1	8	640	32	256	5120	512	6.951	56.7	110	OK
on	1	C1	8	640	32	384	5120	512	7.020	56.1	110	OK
on	1	C1	8	640	32	512	5120	512	6.777	58.1	110	OK
on	1	C1	8	640	32	640	5120	512	6.536	60.3	110	OK
on	1	C1	8	640	32	768	5120	512	NA	NA	NA	OOM
on	0	C1	8	640	32	256	5120	512	19.398	20.3	110	OK
on	0	C1	8	640	32	384	5120	512	19.278	20.4	110	OK
on	0	C1	8	640	32	512	5120	512	18.848	20.9	110	OK
on	0	C1	8	640	32	640	5120	512	NA	NA	NA	OOM
on	0	C1	8	640	32	768	5120	512	NA	NA	NA	OOMskip
off	1	C1	8	640	32	256	5120	512	6.395	61.6	110	OK
off	1	C1	8	640	32	384	5120	512	6.037	65.2	110	OK
off	1	C1	8	640	32	512	5120	512	5.794	68.0	110	OK
off	1	C1	8	640	32	640	5120	512	5.760	68.4	110	OK
off	1	C1	8	640	32	768	5120	512	NA	NA	NA	OOM
off	0	C1	8	640	32	256	5120	512	14.710	26.8	110	OK
off	0	C1	8	640	32	384	5120	512	14.663	26.9	110	OK
off	0	C1	8	640	32	512	5120	512	14.650	26.9	110	OK
off	0	C1	8	640	32	640	5120	512	NA	NA	NA	OOM
off	0	C1	8	640	32	768	5120	512	NA	NA	NA	OOMskip
on	0	C1	8	640	32	256	5120	128	8.821	28.9	110	OK
on	0	C1	8	640	32	384	5120	128	8.657	29.4	110	OK
on	0	C1	8	640	32	512	5120	128	8.364	30.5	110	OK
on	0	C1	8	640	32	640	5120	128	8.152	31.3	110	OK
on	0	C1	8	640	32	768	5120	128	8.826	28.9	110	OK
off	0	C1	8	640	32	256	5120	128	5.065	50.3	110	OK
off	0	C1	8	640	32	384	5120	128	4.783	53.3	110	OK
off	0	C1	8	640	32	512	5120	128	4.746	53.7	110	OK
off	0	C1	8	640	32	640	5120	128	4.741	53.8	110	OK
off	0	C1	8	640	32	768	5120	128	4.731	53.9	110	OK
